system:index,FloodClass,FloodRisk,NDWI,elevation,slope,.geo
919,1,-0.03702170487146757,-0.4414608,8,2.1145654,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.20999481225107,24.231065821581993]}"
920,1,-0.07584945966323199,-0.5616989,15,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21215076893299,24.231065821581993]}"
921,0,-0.12866999386448907,-0.5633052,14,2.7508698,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21403723102964,24.231065821581993]}"
922,1,-0.025067892503536075,-0.47213578,13,0.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21592369312629,24.231065821581993]}"
923,1,-0.006222449809808087,-0.34506354,13,2.234534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21700167146719,24.231065821581993]}"
924,0,-0.18878308672525418,-0.6861848,17,2.234534,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.21969661731958,24.231065821581993]}"
925,1,0.1593328117936933,7.002801E-4,12,2.7508664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.14477712262402,24.23079632699676]}"
926,0,-0.18700470427675653,-0.69197476,12,2.7508664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.14531611179444,24.23079632699676]}"
927,1,-0.07276112998514847,-0.5184732,12,1.3762263,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.14747206847636,24.23079632699676]}"
928,0,-0.11903808314373193,-0.51142454,14,3.5662906,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.14908903598774,24.23079632699676]}"
929,1,0.008642510093608356,-0.30538133,16,2.0333416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15070600349918,24.23079632699676]}"
930,1,0.07573840409498325,-0.19194062,12,2.1145644,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15313145476631,24.23079632699676]}"
931,1,0.10177446677652502,-0.102514505,12,3.048414,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.15420943310727,24.23079632699676]}"
932,0,-0.17435503334371052,-0.6905367,14,1.8543341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.16175528149387,24.23079632699676]}"
933,1,-0.042021632423017784,-0.40200862,12,2.7508664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.16606719485765,24.23079632699676]}"
934,0,-0.1463324955744916,-0.6453313,11,2.0333416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.16741466778382,24.23079632699676]}"
935,1,0.03499746801566519,-0.314956,10,1.3762263,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17226557031807,24.23079632699676]}"
936,0,-0.12824942948806056,-0.61311764,9,2.23453,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17657748368185,24.23079632699676]}"
937,0,-0.13697004546536512,-0.67926043,9,1.016991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17684697826706,24.23079632699676]}"
938,0,-0.09858027170045686,-0.5940641,11,0.92740995,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.17819445119324,24.23079632699676]}"
939,0,-0.1330104872423423,-0.65097195,10,1.3762263,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.1792724295342,24.23079632699676]}"
940,0,-0.16332417558123183,-0.6853147,10,2.0333416,"{""geodesic"":false,""type"":""Point"",""coordinates"":[89.18196737538653,24.23079632699676]}"
